Electrophile,Nucleophile,Ligand,Base,Solvent,Yield
6-iodoquinoline,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,"dicyclohexyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","N,N-diethylethanamine","N,N-dimethylformamide",15.63
6-bromoquinoline,[5-methyl-1-(oxan-2-yl)indazol-4-yl]boronic acid,"1,1'-Bis(diphenylphosphino)ferrocene",sodium hydrogen carbonate,oxolane,17.13
6-chloroquinoline,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,tricyclohexylphosphane,sodium hydrogen carbonate,oxolane,20.82
quinolin-6-yl trifluoromethanesulfonate,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,triphenylphosphane,"N,N-diethylethanamine",oxolane,44.25
6-bromoquinoline,"5-methyl-1-(oxan-2-yl)-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)indazole","dicyclohexyl-[2-(2,6-dimethoxyphenyl)phenyl]phosphane",Nothing,"N,N-dimethylformamide",23.47
6-chloroquinoline,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,"4-ditert-butylphosphanyl-N,N-dimethylaniline",sodium hydroxide,"N,N-dimethylformamide",15.3
quinolin-6-yl trifluoromethanesulfonate,"5-methyl-1-(oxan-2-yl)-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)indazole","(5-diphenylphosphanyl-9,9-dimethylxanthen-4-yl)-diphenylphosphane",sodium hydrogen carbonate,acetonitrile,7.68
4-bromo-5-methyl-1-(oxan-2-yl)indazole,"6-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)quinoline",Nothing,"N,N-diethylethanamine","N,N-dimethylformamide",11.64
6-iodoquinoline,[5-methyl-1-(oxan-2-yl)indazol-4-yl]boronic acid,tris(2-methylphenyl)phosphane,Nothing,acetonitrile,68.84
4-bromo-5-methyl-1-(oxan-2-yl)indazole,potassium trifluoro(quinolin-6-yl)boranuide,tris(2-methylphenyl)phosphane,potassium hydroxide,"N,N-dimethylformamide",47.43
4-bromo-5-methyl-1-(oxan-2-yl)indazole,quinolin-6-ylboronic acid,tricyclohexylphosphane,sodium hydrogen carbonate,methanol,41.56
